text,retweets,replies,likes,quotes,created_at,vader_score,vader_label,tblob_score,tblob_label,top1_mood,top2_mood,top3_mood
"When so-called markets are rigged by cartels, monopoly, and a handful of insiders on Wall St.... they aren't markets, it's organized THEFT. 

Right Jeffrey?  It's called Econ 101.

#GreenNewDeal 
#PriceControls

@JeffBezos

@APIenergy

@exxonmobil

@bp_America

@Shell

@Chevron https://t.co/YaztlZEuNZ",0,0,0,0,2022-07-17 23:16:27+00:00,-0.3612,neg,0.2857142857142857,pos,ANGRY,AMUSED,ANNOYED
@bp_plc What’s gets me with BP and Shell etc is the sheer bullsh*t. I mean BP must think we are stupid. They lobby hard for more of the sabe whilst pretending they have some kind of green policy. Just be honest. Tell us you want more carbon fuels!,0,0,0,0,2022-07-17 22:52:27+00:00,0.1511,neu,0.08009259259259259,neu,INSPIRED,AMUSED,ANGRY
"THANK YOU, ExxonMobil, Shell, Chevron, BP, etc. for encouraging all of us to transition away from the use of oil, via your price gouging. It's working.",0,0,0,0,2022-07-17 22:16:48+00:00,0.7672,pos,0.0,neu,INSPIRED,AMUSED,ANNOYED
"@johnredwood Brexit and the global pandemic is the reason we have inflation. Greedy industries i.e. Esso, Shell, BP etc turned it into an avalanche. You are a lobbyist, you should know.",0,0,0,0,2022-07-17 21:40:15+00:00,-0.3182,neg,0.0,neu,INSPIRED,ANNOYED,AMUSED
These BP and Shell adverts are a massive pisstake. Knock the price down we don’t give a shit about your sandwiches,0,0,0,0,2022-07-17 21:20:27+00:00,-0.5574,neg,-0.11851851851851854,neg,AMUSED,DONT_CARE,INSPIRED
"OIL companies have no shame, they are raking in record profits while #gasprices GOUGING in front of your eyes! 
And you want the president to change that?
He's the USA leader not the chairman of EXXON SHELL BP CHEVRON MARATHON
#Congress needs to do something beside take their $$$ https://t.co/OabGBXfHtB https://t.co/dGf4gGFf8D",0,0,1,0,2022-07-17 20:47:54+00:00,-0.3382,neg,0.0,neu,INSPIRED,ANGRY,AMUSED
"@darrengrimes_ Even if climate change is a hoax (which it isn’t) - why would you not want fresher air, cleaner water, less rubbish, green spaces and thriving wildlife.  We can do better in all of those areas.  Shell and BP might not like it but there is a better way.",0,0,0,0,2022-07-17 20:22:54+00:00,0.6038,pos,0.15833333333333333,neu,INSPIRED,AMUSED,ANGRY
"Its funny how lurpack, shell,bp and the others are advertising all the time when its the ones ripping us off",0,0,0,0,2022-07-17 20:17:50+00:00,0.4404,neu,0.25,pos,AMUSED,INSPIRED,ANGRY
"@GaryLineker @WarwickHunt4 It’s BP &amp; Shell that pay the climate deniers @GaryLineker 
It’s not the likes of David Icke and Barry from pub you need to be arguing with. They don’t have the money or political power to make a difference.
It’s over if you think they are the problem.",0,0,0,0,2022-07-17 19:56:24+00:00,-0.8602,neg,0.0,neu,INSPIRED,AMUSED,ANNOYED
Stack up your savings from .40 Cents per gallon to over $1 by attaching the following promo codes to your profile as well. 1)THOUGHTS8272   2)Uber35  3) Snap37  4) 7Centbonus 5)comeback6    #shell #BP #GasCrisis #gasprices #Biden #Oilprices,0,0,0,0,2022-07-17 19:27:07+00:00,0.2732,neu,0.0,neu,INSPIRED,AMUSED,ANNOYED
