text,retweets,replies,likes,quotes,created_at,vader_score,vader_label,tblob_score,tblob_label,top1_mood,top2_mood,top3_mood
Towns and smaller cities set to lose out on 5G | Vodafone report - Vodafone UK News Centre #5G  CC:@UK_CIF https://t.co/OiBvjPV35T,0,0,0,0,2022-07-17 23:53:03+00:00,-0.4019,neg,0.0,neu,INSPIRED,SAD,ANGRY
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/ozIpyLeXRx https://t.co/r1qa1GAt68,0,0,0,0,2022-07-17 23:49:18+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
@SamsungAU Any reason 4g and 5g is almost un usable on @VodafoneAU using S22 Ultra. Vodafone are saying it's a Samsung problem?,0,1,0,0,2022-07-17 23:42:55+00:00,-0.4019,neg,0.0,neu,ANGRY,ANNOYED,INSPIRED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/Rp6wyB9Juk https://t.co/OlFgzoxqbm,0,0,0,0,2022-07-17 22:27:46+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
#5gradiation #swindon #northswindon #wiltshire #youth #fearless #swindondeservesbetter #Vodafone #EMF2022 #emf #colchester #knutsford #salisbury #oxford #heatwaveuk #heatwave  Not too hot for the workmen tomorrow entrapping you with 5g and roadworks all over. Wake up sheeple.,2,0,1,0,2022-07-17 20:03:40+00:00,0.0,neu,0.25,pos,AMUSED,INSPIRED,DONT_CARE
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/cKeG3N1wBX https://t.co/isy0pfN0Gy,0,0,0,0,2022-07-17 19:28:55+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"Amazing 5G throughout at super crowded location with Vodafone and Ericsson. @vodafone_de, @Ericsson_GmbH #5G #duesseldorf #sommerkirmis https://t.co/w7xzZGeb5M",0,1,1,0,2022-07-17 19:03:55+00:00,0.8271,pos,0.4666666666666667,pos,SAD,INSPIRED,AFRAID
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/oQZO0K5kLH https://t.co/1U1zGmov0h,0,0,1,0,2022-07-17 16:47:20+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"#5G ABT Vodafone - Salalah Authorized Distributor for Vodafone Products and Services.

📞 Contact us: 90600164 

📍 Address: Skill International Al Qawf Salam Street Salalah Dhofar, Oman 

#Salalah #abtvodafone #International #Network https://t.co/aHbCeuiGsK",0,0,1,0,2022-07-17 15:51:44+00:00,0.0,neu,0.0,neu,,,
Vodafone deploys two private 5G networks in Scotland https://t.co/HRvHMUPlo6 https://t.co/bgZx3AWimB,0,0,0,0,2022-07-17 15:17:32+00:00,0.0,neu,0.0,neu,INSPIRED,ANNOYED,DONT_CARE
"What an incredible initiative from @VodafoneUK. With the use of #5G and haptic suits, deaf and hard-of hearing fans will now feel every beat through vibration at festivals. https://t.co/Uw0oBO7FGo https://t.co/LhURU7PMz5",0,0,0,0,2022-07-17 14:34:05+00:00,0.3612,pos,0.9,pos,INSPIRED,AMUSED,SAD
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/xHaljyotlL https://t.co/VpLgwM1wrL,0,0,1,0,2022-07-17 12:32:16+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
